Row,InBand_dBm,FullSampleBand_dBm,Density_dBm_Hz
Requested,-64,-63.1051879731256,-140.98970004336
IdealGaussian,-64.0072261990149,-63.1149243022759,-140.996926242375
FPGA_effective,-64.0061249569871,-63.1138379564948,-140.995825000347
